ts,date,jcd,rno,combo,P,rank,payout,stake,status,ret,hit,actual
2026-08-22 23:42:59,20260822,7,10,1-3,0.2161,2,0,1000.0,settled,0.0,0,1-4
2026-08-22 23:42:59,20260822,7,10,1-4,0.2696,1,450.0,1000.0,settled,4500.0,1,1-4
2026-08-22 23:42:59,20260822,8,1,1-2,0.2592,1,0,1000.0,settled,0.0,0,1-4
2026-08-22 23:42:59,20260822,8,1,1-4,0.2295,2,430.0,1000.0,settled,4300.0,1,1-4
2026-08-22 23:42:59,20260822,8,6,1-2,0.3484,1,240.0,1000.0,settled,2400.0,1,1-2
2026-08-22 23:42:59,20260822,8,6,1-4,0.1612,2,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,16,10,1-2,0.231,2,200.0,1000.0,settled,2000.0,1,1-2
2026-08-22 23:42:59,20260822,16,10,1-3,0.2571,1,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,21,1,1-3,0.3941,1,0,1000.0,settled,0.0,0,3-4
2026-08-22 23:42:59,20260822,21,1,3-1,0.1238,2,0,1000.0,settled,0.0,0,3-4
2026-08-22 23:42:59,20260822,21,2,1-4,0.3631,1,0,1000.0,settled,0.0,0,5-4
2026-08-22 23:42:59,20260822,21,2,4-1,0.1812,2,0,1000.0,settled,0.0,0,5-4
2026-08-22 23:42:59,20260822,21,9,1-2,0.2726,1,0,1000.0,settled,0.0,0,2-1
2026-08-22 23:42:59,20260822,21,9,2-1,0.2503,2,260.0,1000.0,settled,2600.0,1,2-1
2026-08-22 23:42:59,20260822,21,10,1-2,0.3876,1,0,1000.0,settled,0.0,0,3-1
2026-08-22 23:42:59,20260822,21,10,2-1,0.2351,2,0,1000.0,settled,0.0,0,3-1
2026-08-22 23:42:59,20260822,22,1,1-2,0.2451,2,0,1000.0,settled,0.0,0,1-3
2026-08-22 23:42:59,20260822,22,1,1-3,0.3279,1,240.0,1000.0,settled,2400.0,1,1-3
2026-08-22 23:42:59,20260822,22,3,1-3,0.3288,1,0,1000.0,settled,0.0,0,5-1
2026-08-22 23:42:59,20260822,22,3,3-1,0.3286,2,0,1000.0,settled,0.0,0,5-1
2026-08-22 23:42:59,20260822,22,8,1-2,0.3211,1,0,1000.0,settled,0.0,0,1-5
2026-08-22 23:42:59,20260822,22,8,2-1,0.2418,2,0,1000.0,settled,0.0,0,1-5
2026-08-22 23:42:59,20260822,22,11,1-2,0.2711,1,210.0,1000.0,settled,2100.0,1,1-2
2026-08-22 23:42:59,20260822,22,11,1-3,0.2134,2,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,22,12,1-2,0.2626,1,0,1000.0,settled,0.0,0,4-6
2026-08-22 23:42:59,20260822,22,12,1-3,0.2507,2,0,1000.0,settled,0.0,0,4-6
2026-08-22 23:42:59,20260822,24,2,1-2,0.253,1,0,1000.0,settled,0.0,0,2-1
2026-08-22 23:42:59,20260822,24,2,2-1,0.242,2,610.0,1000.0,settled,6100.0,1,2-1
2026-08-22 23:42:59,20260822,24,7,1-3,0.2465,2,190.0,1000.0,settled,1900.0,1,1-3
2026-08-22 23:42:59,20260822,24,7,1-4,0.2528,1,0,1000.0,settled,0.0,0,1-3
2026-08-22 23:42:59,20260822,24,9,1-2,0.2109,2,280.0,1000.0,settled,2800.0,1,1-2
2026-08-22 23:42:59,20260822,24,9,1-4,0.2828,1,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,24,10,1-4,0.318,1,400.0,1000.0,settled,4000.0,1,1-4
2026-08-22 23:42:59,20260822,24,10,4-1,0.2177,2,0,1000.0,settled,0.0,0,1-4
